"","row_names","actors","actorID"
"1","1","Boyd Holbrook",1
"2","2","Dafne Keen",2
"3","3","Hugh Jackman",3
"4","4","Patrick Stewart",4
"5","5","Dan Stevens",5
"6","6","Emma Watson",6
"7","7","Josh Gad",7
"8","8","Luke Evans",8
"9","9","Benedict Cumberbatch",9
"10","10","Chris Hemsworth",10
"11","11","Idris Elba",11
"12","12","Tom Hiddleston",12
"13","13","Chris Pratt",13
"14","14","Karen Gillan",14
"15","15","Sylvester Stallone",15
"16","16","Vin Diesel",16
"17","17","Adam Driver",17
"18","18","Daisy Ridley",18
"19","19","Mark Hamill",19
"20","20","Tom Hardy",20
"21","21","Scott Eastwood",21
"22","22","Charlize Theron",22
"23","23","Dwayne Johnson",23
