"","row_names","writers","writerID"
"1","1","Chris Morgan",1
"2","2","Gary Scott Thompson",2
"3","3","Rian Johnson",3
"4","4","George Lucas",4
"5","5","James Gunn",5
"6","6","Dan Abnett",6
"7","7","Andy Lanning",7
"8","8","Stan Lee",8
"9","9","Jack Kirby",9
"10","10","Gene Colan",10
"11","11","Arnold Drake",11
"12","12","Steve Englehart",12
"13","13","Steve Gan",13
"14","14","Jim Starlin",14
"15","15","Craig Kyle",15
"16","16","Christopher Yost",16
"17","17","Stephany Folsom",17
"18","18","Eric Pearson",18
"19","19","Larry Lieber",19
"20","20","Stephen Chbosky",20
"21","21","Evan Spiliotopoulos",21
"22","22","James Mangold",22
"23","23","Scott Frank",23
"24","24","Michael Green",24
